Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
INDORES14DEL01,39,4.2,Snack ,scooter ,39,16.635
COIMBRES17DEL01,37,4.8,Meal ,scooter ,18,6.232
CHENRES11DEL01,32,4.9,Drinks ,motorcycle ,28,6.209
KNPRES17DEL02,22,4.5,Drinks ,scooter ,18,7.461
COIMBRES12DEL02,23,4.9,Meal ,scooter ,18,20.254
RANCHIRES04DEL01,33,4.7,Snack ,scooter ,49,16.601
KOLRES17DEL03,23,4.6,Drinks ,motorcycle ,15,4.54
BANGRES19DEL02,27,4.6,Drinks ,motorcycle ,21,12.421
MUMRES17DEL01,34,4.7,Snack ,scooter ,23,6.119
SURRES14DEL01,26,5,Meal ,scooter ,11,1.52
VADRES14DEL03,31,4.6,Snack ,motorcycle ,25,9.088
PUNERES09DEL02,32,4.9,Snack ,motorcycle ,18,3.064
INDORES19DEL02,27,4.7,Buffet ,motorcycle ,14,3.025
BANGRES010DEL03,21,4.9,Drinks ,motorcycle ,36,13.973
BANGRES12DEL02,28,4.8,Drinks ,motorcycle ,18,7.763
VADRES04DEL01,24,4.9,Meal ,scooter ,17,6.29
HYDRES14DEL01,33,4.4,Snack ,motorcycle ,28,1.537
BANGRES11DEL03,20,4.6,Buffet ,motorcycle ,44,13.973
COIMBRES13DEL03,31,4.3,Snack ,motorcycle ,20,9.348
PUNERES05DEL03,29,4.6,Snack ,scooter ,19,4.597
VADRES20DEL01,36,5,Snack ,motorcycle ,35,10.602
CHENRES19DEL01,31,4.2,Meal ,motorcycle ,50,17.076
HYDRES02DEL03,39,4.1,Meal ,scooter ,34,9.221
SURRES010DEL02,29,4.6,Meal ,electric_scooter ,17,12.162
SURRES03DEL01,29,4.6,Snack ,scooter ,23,6.081
COIMBRES17DEL03,37,4.9,Buffet ,motorcycle ,27,4.674
VADRES08DEL01,33,4.7,Snack ,motorcycle ,26,6.29
MUMRES08DEL01,31,3.9,Buffet ,scooter ,35,10.709
VADRES18DEL01,37,4.6,Drinks ,motorcycle ,41,6.29
BANGRES04DEL03,26,4.4,Buffet ,motorcycle ,23,9.315
COIMBRES02DEL01,24,4.6,Snack ,motorcycle ,30,17.137
RANCHIRES12DEL02,23,4.8,Buffet ,scooter ,19,3.145
VADRES18DEL01,36,4.9,Buffet ,scooter ,27,1.573
MYSRES13DEL01,39,4.8,Snack ,motorcycle ,28,6.218
COIMBRES03DEL02,20,4.7,Drinks ,motorcycle ,24,12.464
MYSRES16DEL02,20,5,Meal ,motorcycle ,36,20.207
KOLRES04DEL03,29,4.3,Buffet ,motorcycle ,28,9.081
COIMBRES11DEL01,36,4.8,Drinks ,motorcycle ,31,17.138
VADRES13DEL03,36,4,Meal ,motorcycle ,44,13.631
RANCHIRES04DEL02,22,4.8,Drinks ,scooter ,15,12.074
PUNERES18DEL01,38,4.4,Buffet ,motorcycle ,33,10.723
SURRES01DEL02,39,4.9,Buffet ,motorcycle ,30,7.601
INDORES08DEL02,24,4.9,Snack ,scooter ,22,7.563
VADRES18DEL01,30,4.1,Snack ,motorcycle ,43,11.008
HYDRES18DEL03,35,4.8,Meal ,motorcycle ,48,13.829
CHENRES07DEL03,33,4.5,Drinks ,electric_scooter ,19,13.969
KOCRES010DEL01,39,4.7,Snack ,motorcycle ,21,10.923
VADRES11DEL02,31,4.3,Drinks ,motorcycle ,44,12.117
CHENRES20DEL01,37,4.5,Drinks ,scooter ,26,1.553
MYSRES04DEL03,37,4.7,Buffet ,scooter ,26,4.664
MUMRES13DEL01,33,5,Meal ,motorcycle ,31,1.529
RANCHIRES03DEL03,24,4.6,Meal ,scooter ,19,9.435
JAPRES08DEL02,33,4.5,Snack ,scooter ,18,11.917
ALHRES12DEL01,39,4.7,Meal ,motorcycle ,38,10.486
RANCHIRES11DEL03,37,4.6,Snack ,motorcycle ,32,13.583
HYDRES19DEL02,25,4.9,Meal ,scooter ,17,7.683
PUNERES17DEL03,28,4.8,Buffet ,scooter ,11,9.193
MYSRES010DEL01,38,4.7,Buffet ,motorcycle ,31,6.218
JAPRES03DEL01,29,4.6,Drinks ,motorcycle ,43,10.427
MYSRES04DEL03,31,4.6,Meal ,motorcycle ,25,9.327
MUMRES06DEL03,25,4.8,Snack ,motorcycle ,22,9.18
MYSRES18DEL01,35,4.9,Drinks ,motorcycle ,43,10.881
RANCHIRES18DEL01,39,4.7,Buffet ,motorcycle ,42,10.565
INDORES06DEL02,38,3.9,Meal ,motorcycle ,42,12.1
CHENRES15DEL03,35,4.7,Drinks ,motorcycle ,34,4.657
JAPRES07DEL02,29,4.7,Snack ,motorcycle ,17,2.981
SURRES18DEL03,27,4.6,Snack ,scooter ,25,4.561
MYSRES04DEL03,38,4.3,Meal ,motorcycle ,54,13.99
SURRES19DEL01,36,4.9,Buffet ,motorcycle ,21,10.642
HYDRES04DEL01,26,4,Buffet ,motorcycle ,34,6.147
KNPRES16DEL03,26,4.1,Meal ,motorcycle ,36,13.428
MYSRES12DEL03,36,4.9,Drinks ,motorcycle ,17,9.327
JAPRES09DEL01,21,4.7,Meal ,motorcycle ,16,1.49
CHENRES04DEL02,35,4.7,Meal ,electric_scooter ,27,12.418
MYSRES09DEL01,20,4.5,Meal ,motorcycle ,26,6.218
PUNERES19DEL03,23,4.6,Snack ,motorcycle ,46,13.788
KOLRES18DEL03,37,5,Buffet ,motorcycle ,29,9.08
BANGRES14DEL03,26,4.8,Snack ,motorcycle ,23,9.315
SURRES09DEL02,29,5,Snack ,scooter ,11,12.161
INDORES09DEL01,26,4.9,Snack ,motorcycle ,28,16.637
PUNERES09DEL03,29,4.8,Meal ,motorcycle ,25,9.193
RANCHIRES01DEL02,29,4.7,Snack ,motorcycle ,11,3.018
LUDHRES010DEL03,21,4.9,Meal ,scooter ,26,4.395
MYSRES13DEL02,22,4.3,Meal ,motorcycle ,23,3.109
JAPRES18DEL02,31,4,Snack ,motorcycle ,39,11.917
COIMBRES11DEL02,20,4.5,Snack ,motorcycle ,11,3.116
VADRES13DEL02,30,3.9,Drinks ,electric_scooter ,32,12.117
BANGRES01DEL01,36,4.8,Snack ,motorcycle ,43,10.868
MYSRES08DEL01,24,4.7,Buffet ,scooter ,13,6.218
MYSRES15DEL01,32,4.7,Buffet ,electric_scooter ,25,1.554
CHENRES02DEL03,25,5,Drinks ,motorcycle ,27,9.313
HYDRES12DEL01,27,4.5,Drinks ,scooter ,29,6.147
BANGRES07DEL01,32,4.1,Buffet ,motorcycle ,33,10.867
CHENRES09DEL01,23,4.7,Drinks ,motorcycle ,19,6.209
BANGRES04DEL02,39,4.4,Meal ,motorcycle ,33,20.181
VADRES04DEL03,20,4.8,Snack ,motorcycle ,28,9.435
JAPRES13DEL02,20,4.8,Drinks ,electric_scooter ,15,11.92
ALHRES07DEL03,29,4.6,Meal ,scooter ,29,4.494
JAPRES06DEL03,26,4.9,Meal ,scooter ,18,20.852
KOCRES03DEL01,25,5,Meal ,motorcycle ,14,1.561
BANGRES13DEL01,34,4.7,Snack ,motorcycle ,30,6.211
GOARES02DEL01,31,4.9,Snack ,motorcycle ,28,6.175
RANCHIRES03DEL02,24,4.7,Snack ,motorcycle ,39,20.443
HYDRES12DEL03,30,4.9,Meal ,motorcycle ,30,13.83
JAPRES07DEL02,36,4.8,Buffet ,motorcycle ,36,19.374
JAPRES13DEL03,36,4.4,Snack ,motorcycle ,37,20.857
JAPRES18DEL03,26,4.7,Meal ,motorcycle ,43,20.852
VADRES05DEL01,30,4.6,Buffet ,scooter ,29,16.66
AURGRES02DEL03,20,4.8,Drinks ,scooter ,25,4.718
BANGRES17DEL02,33,4.7,Buffet ,electric_scooter ,15,7.763
RANCHIRES14DEL01,29,4.6,Snack ,scooter ,24,11.008
MUMRES20DEL03,34,4,Snack ,motorcycle ,39,13.767
HYDRES14DEL02,36,4.6,Buffet ,motorcycle ,20,12.294
KNPRES02DEL02,33,4.6,Buffet ,motorcycle ,15,2.985
AURGRES19DEL01,22,4.8,Drinks ,motorcycle ,16,16.788
PUNERES18DEL01,38,4.7,Drinks ,scooter ,19,1.532
BANGRES08DEL02,27,4.9,Drinks ,scooter ,20,12.421
KNPRES16DEL01,32,4.8,Meal ,scooter ,25,10.445
BANGRES010DEL02,26,4.8,Snack ,motorcycle ,43,12.421
INDORES03DEL02,29,4.5,Drinks ,motorcycle ,15,19.659
COIMBRES16DEL02,31,4.5,Buffet ,motorcycle ,29,12.464
HYDRES20DEL01,28,4.6,Drinks ,motorcycle ,14,6.146
AGRRES08DEL03,21,4.8,Buffet ,motorcycle ,11,8.929
COIMBRES15DEL02,21,4,Buffet ,motorcycle ,19,7.79
RANCHIRES12DEL02,30,4.9,Drinks ,motorcycle ,29,12.58
ALHRES05DEL01,29,4.7,Buffet ,motorcycle ,11,5.992
MUMRES01DEL01,20,4.8,Snack ,motorcycle ,14,1.53
AURGRES14DEL03,28,5,Snack ,motorcycle ,15,13.736
MUMRES13DEL01,25,4.7,Meal ,motorcycle ,16,10.706
PUNERES16DEL01,29,4.6,Buffet ,motorcycle ,43,16.853
CHENRES14DEL02,38,4.8,Buffet ,motorcycle ,20,3.105
HYDRES06DEL03,39,4.9,Drinks ,motorcycle ,26,4.61
SURRES18DEL03,26,4.9,Snack ,scooter ,26,9.122
COIMBRES02DEL01,33,4.4,Meal ,motorcycle ,43,10.906
VADRES13DEL03,24,4.6,Snack ,motorcycle ,25,9.088
COIMBRES16DEL01,24,4.9,Buffet ,motorcycle ,28,6.232
INDORES13DEL03,33,4.5,Buffet ,scooter ,17,13.612
INDORES12DEL03,35,4.2,Drinks ,motorcycle ,44,13.611
MUMRES13DEL03,27,4.2,Buffet ,motorcycle ,33,13.764
CHENRES06DEL02,29,4.6,Snack ,scooter ,19,7.761
BANGRES06DEL03,29,4.5,Snack ,motorcycle ,15,4.658
AGRRES11DEL02,34,4.7,Buffet ,scooter ,27,19.343
KNPRES15DEL02,20,4.7,Meal ,scooter ,25,2.985
VADRES13DEL01,29,4.8,Drinks ,motorcycle ,18,6.059
VADRES01DEL03,22,4.9,Snack ,scooter ,21,9.088
AGRRES03DEL01,35,4.9,Buffet ,motorcycle ,53,10.417
KOCRES14DEL01,32,4.4,Drinks ,motorcycle ,42,17.165
LUDHRES18DEL01,28,4.9,Snack ,motorcycle ,20,16.114
COIMBRES14DEL02,30,4.7,Meal ,scooter ,29,20.254
CHENRES19DEL01,22,4.7,Snack ,scooter ,15,17.076
COIMBRES15DEL02,36,4.7,Buffet ,motorcycle ,30,7.79
SURRES20DEL02,23,4.8,Snack ,motorcycle ,28,19.762
INDORES18DEL02,22,4.8,Drinks ,motorcycle ,19,3.025
AURGRES04DEL02,29,4.5,Meal ,motorcycle ,15,19.84
CHENRES01DEL01,34,4.9,Buffet ,motorcycle ,50,17.076
BANGRES010DEL01,38,4.1,Buffet ,motorcycle ,41,1.553
VADRES09DEL01,35,5,Snack ,motorcycle ,37,11.008
VADRES15DEL03,38,4.7,Drinks ,scooter ,28,9.435
DEHRES010DEL01,32,4.3,Meal ,scooter ,35,10.281
BANGRES07DEL01,20,4.5,Buffet ,motorcycle ,27,10.867
CHENRES05DEL02,25,4.9,Buffet ,motorcycle ,43,12.418
JAPRES06DEL03,29,4.5,Meal ,scooter ,12,8.938
AGRRES12DEL03,32,4.7,Meal ,scooter ,31,6047.919
DEHRES12DEL02,39,4.1,Drinks ,motorcycle ,39,20.443
VADRES01DEL01,31,4.4,Buffet ,motorcycle ,47,16.66
SURRES13DEL02,37,4.5,Buffet ,motorcycle ,26,7.601
LUDHRES05DEL03,36,4.9,Snack ,electric_scooter ,31,13.184
JAPRES16DEL03,37,3.8,Snack ,motorcycle ,42,20.857
PUNERES02DEL03,29,4.6,Meal ,scooter ,12,16612.239
COIMBRES14DEL01,38,4.9,Snack ,scooter ,25,6.232
AGRRES010DEL02,37,4.4,Drinks ,motorcycle ,39,11.905
SURRES14DEL03,21,4.9,Buffet ,scooter ,21,13.682
JAPRES04DEL03,35,4.9,Meal ,electric_scooter ,18,4.469
JAPRES01DEL03,22,4.8,Snack ,scooter ,22,13.406
HYDRES010DEL02,28,4.8,Buffet ,motorcycle ,23,3.074
MYSRES16DEL02,39,4,Drinks ,motorcycle ,48,20.207
BANGRES15DEL02,29,4.5,Snack ,scooter ,13,12.42
CHENRES15DEL02,39,4.6,Drinks ,motorcycle ,32,3.105
MYSRES05DEL02,25,4.9,Snack ,electric_scooter ,16,20.206
COIMBRES03DEL03,34,5,Snack ,electric_scooter ,19,4.674
BANGRES01DEL02,22,4.8,Drinks ,motorcycle ,18,3.105
KNPRES12DEL01,27,5,Buffet ,motorcycle ,27,10.444
MUMRES010DEL01,28,4.5,Drinks ,motorcycle ,25,10.711
COIMBRES20DEL03,32,5,Drinks ,scooter ,31,4.674
RANCHIRES08DEL01,29,4.6,Drinks ,scooter ,39,16.601
HYDRES16DEL01,27,4.6,Snack ,motorcycle ,20,10.757
MUMRES01DEL02,35,3.9,Snack ,motorcycle ,38,12.237
MYSRES08DEL03,22,4.6,Buffet ,motorcycle ,19,4.664
AURGRES16DEL03,35,4.7,Drinks ,electric_scooter ,17,4.718
VADRES11DEL01,30,4.6,Buffet ,motorcycle ,24,1.515
MYSRES09DEL02,39,4.8,Drinks ,scooter ,26,3.109
HYDRES18DEL03,33,4.8,Meal ,motorcycle ,28,9.22
PUNERES05DEL02,20,4.7,Snack ,scooter ,16,12.257
VADRES04DEL03,20,4.7,Buffet ,motorcycle ,17,4.718
MYSRES02DEL03,34,4.2,Snack ,motorcycle ,24,9.327
MYSRES03DEL01,22,4.7,Meal ,motorcycle ,24,10.881
JAPRES16DEL02,37,4.3,Meal ,scooter ,34,2.98
MUMRES010DEL01,20,4.8,Snack ,motorcycle ,16,1.53
SURRES15DEL02,33,4.9,Drinks ,motorcycle ,26,7.602
INDORES06DEL02,21,5,Drinks ,motorcycle ,25,19.661
VADRES06DEL01,33,4.6,Meal ,motorcycle ,49,10.602
BANGRES04DEL02,24,4.6,Snack ,electric_scooter ,24,12.42
RANCHIRES12DEL02,36,4.7,Meal ,scooter ,32,3.145
MUMRES19DEL03,30,4.6,Buffet ,motorcycle ,26,4.589
HYDRES05DEL03,32,4.9,Buffet ,scooter ,24,13.83
HYDRES010DEL02,28,4.6,Drinks ,electric_scooter ,16,19.976
JAPRES07DEL02,21,4.7,Drinks ,scooter ,27,19.374
AURGRES12DEL02,39,4.9,Drinks ,motorcycle ,25,3.053
CHENRES15DEL02,32,4.7,Drinks ,motorcycle ,26,3.105
MUMRES07DEL03,20,4.5,Buffet ,scooter ,25,9.179
VADRES12DEL03,29,4.6,Meal ,motorcycle ,26,4.718
JAPRES16DEL01,36,5,Meal ,scooter ,15,1.49
BANGRES09DEL02,28,4.8,Buffet ,scooter ,18,3.105
PUNERES12DEL02,32,4.5,Buffet ,motorcycle ,30,7.661
CHENRES19DEL01,39,4.4,Drinks ,scooter ,46,17.076
SURRES07DEL01,30,4.7,Drinks ,motorcycle ,24,16.721
PUNERES19DEL01,32,4.4,Drinks ,motorcycle ,37,6.128
INDORES15DEL03,23,4.6,Snack ,motorcycle ,27,13.611
MUMRES01DEL01,21,4.8,Buffet ,scooter ,27,6.119
INDORES17DEL03,31,4.2,Meal ,electric_scooter ,32,9.074
MUMRES13DEL02,37,4.6,Buffet ,electric_scooter ,28,3.059
SURRES18DEL02,20,4.5,Drinks ,motorcycle ,29,7.602
JAPRES14DEL01,28,4.5,Snack ,motorcycle ,27,1.49
MYSRES08DEL01,22,4.9,Snack ,motorcycle ,11,1.555
HYDRES19DEL03,20,4.7,Buffet ,motorcycle ,13,9.22
RANCHIRES010DEL02,34,4.8,Buffet ,scooter ,27,19.619
CHENRES09DEL01,38,4.8,Snack ,scooter ,25,6.209
BANGRES13DEL02,29,4.6,Drinks ,scooter ,26,20.183
RANCHIRES01DEL01,32,4.5,Buffet ,motorcycle ,27,6.036
PUNERES12DEL01,34,4.9,Snack ,scooter ,26,16.853
INDORES07DEL03,33,3.9,Meal ,electric_scooter ,32,13.613
INDORES19DEL02,34,4.5,Meal ,motorcycle ,25,3.025
VADRES04DEL03,32,4.6,Meal ,motorcycle ,32,4.718
BANGRES20DEL01,29,4.6,Drinks ,scooter ,42,10.867
MYSRES02DEL02,34,4.7,Drinks ,motorcycle ,29,7.773
SURRES05DEL01,26,4.6,Buffet ,scooter ,32,10.641
BANGRES13DEL02,31,4,Drinks ,motorcycle ,35,12.421
SURRES010DEL01,39,4.8,Drinks ,motorcycle ,27,6.081
ALHRES09DEL01,27,4.8,Meal ,motorcycle ,15,1.573
HYDRES18DEL02,32,5,Buffet ,scooter ,27,7.683
KOLRES03DEL02,32,4.5,Meal ,motorcycle ,30,7.568
RANCHIRES16DEL01,39,4.1,Snack ,motorcycle ,32,10.565
PUNERES12DEL01,36,4.8,Meal ,electric_scooter ,25,1.532
BANGRES16DEL03,37,4.1,Buffet ,motorcycle ,38,4.657
RANCHIRES01DEL03,37,4.8,Meal ,scooter ,26,9.054
PUNERES12DEL01,38,3.7,Meal ,motorcycle ,31,16.853
RANCHIRES01DEL02,28,4.7,Drinks ,scooter ,28,3.018
PUNERES06DEL01,34,3.8,Meal ,scooter ,31,16.852
CHENRES15DEL01,32,4.9,Buffet ,motorcycle ,29,17.075
JAPRES010DEL03,22,4.7,Buffet ,motorcycle ,17,8.938
KOLRES15DEL03,31,4,Drinks ,motorcycle ,45,13.62
MYSRES15DEL02,27,4,Meal ,motorcycle ,34,12.435
COIMBRES19DEL01,29,4.9,Drinks ,scooter ,24,17.137
COIMBRES09DEL03,38,4.8,Meal ,motorcycle ,44,9.348
SURRES19DEL02,35,4.8,Snack ,motorcycle ,36,7.602
BANGRES20DEL03,31,4.9,Meal ,motorcycle ,28,4.658
CHENRES16DEL03,30,4.3,Drinks ,scooter ,37,13.97
RANCHIRES12DEL03,24,4.9,Snack ,motorcycle ,10,9.435
HYDRES11DEL03,33,4.8,Drinks ,motorcycle ,23,13.83
DEHRES19DEL01,29,4.6,Meal ,motorcycle ,22,10.279
MUMRES15DEL01,38,4.6,Snack ,scooter ,26,6.118
RANCHIRES18DEL03,26,4.9,Drinks ,motorcycle ,34,9.056
VADRES07DEL01,39,4.8,Buffet ,scooter ,26,6.29
VADRES04DEL01,24,4.5,Snack ,motorcycle ,21,17.298
PUNERES17DEL03,34,4.2,Meal ,motorcycle ,28,9.193
JAPRES07DEL03,26,4.7,Snack ,motorcycle ,14,8.943
INDORES07DEL01,35,4.7,Meal ,motorcycle ,17,6.051
BANGRES04DEL03,36,4.2,Drinks ,motorcycle ,37,4.658
VADRES01DEL01,24,2.6,Drinks ,motorcycle ,42,16.66
VADRES18DEL01,29,4.6,Snack ,motorcycle ,17,11.008
MUMRES07DEL01,33,4.3,Meal ,motorcycle ,34,16.826
AURGRES03DEL01,26,4.6,Buffet ,motorcycle ,25,16.788
CHENRES17DEL01,32,5,Buffet ,scooter ,30,17.074
JAPRES20DEL03,37,4.9,Meal ,motorcycle ,48,13.404
KOCRES14DEL02,26,4.9,Drinks ,scooter ,18,20.285
COIMBRES09DEL02,31,4.8,Drinks ,scooter ,28,20.254
CHENRES08DEL03,37,4.6,Buffet ,motorcycle ,26,13.971
MUMRES08DEL01,26,4.7,Drinks ,scooter ,16,16.827
